# id	file_path	transparent_color_r	g	b
[TEXTURES]
10	textures\cars.png	255	0	255
20	textures\item.png	255	0	255
30	textures\map.png	255	0	0
40	textures\area1.png	255	0	255
50	textures\Enemies.png	255	0	255
60	textures\sophia.png	255	0	255

# id	left	top	right	bottom	texture_id
[SPRITES]
123456	0	0	1024	240	40

#=====CAR=====
#walk-right
10001	146	30	172	48	10
10002	178	5	204	23	10
10003	210	30	237	48	10
10004	242	5	268	23	10

#walk-left
10009	109	30	135	48	10
10010	77	5	103	23	10
10011	45	30	71	48	10
10012	13	5	39	23	10

#idle-up-left-1
10020	109	179	135	213	10
10021	109	213	135	246	10
10022	109	246	135	280	10
10023	105	283	135	317	10
#idle-up-left-2
10024	79	179	105	213	10
10025	79	213	105	246	10
10026	79	246	105	280	10
10027	75	283	105	317	10
#idle-up-left-3
10028	46	179	73	213	10
10029	46	213	73	246	10
10030	46	246	73	280	10
10031	42	283	73	317	10
#idle-up-left-4
10032	12	179	39	213	10
10033	12	213	39	246	10
10034	12	246	39	280	10
10035	8	283	39	317	10
#idle-up-right-1
10036	146	179	171	213	10
10037	146	213	171	246	10
10038	146	246	171	280	10
10039	146	283	173	317	10
#idle-up-right-2
10040	176	179	201	213	10
10041	176	213	201	246	10
10042	176	246	201	280	10
10043	176	283	202	317	10
#idle-up-right-3
10044	209	179	234	213	10
10045	209	213	234	246	10
10046	209	246	234	280	10
10047	209	283	235	317	10
#idle-up-right-4
10048	243	179	268	213	10
10049	243	213	268	246	10
10050	243	246	268	280	10
10051	243	283	269	317	10

#walk-up-left
10060	146	283	172	317	10
10061	176	283	203	317	10
10062	207	283	233	317	10
10063	242	283	268	317	10
#walk-up-right
10065	109	283	135	317	10
10066	79	283	105	317	10
10067	48	283	74	317	10
10068	13	283	39	317	10
#Jump-up-right
10070	146	51	172	72	10
10071	146	27	172	48	10
10072	146	2	172	23	10
10073	146	130	172	151	10
#Jump-up-left
10080	109	51	135	72	10
10081	109	27	135	48	10
10082	109	2	135	23	10
10083	109	130	135	151	10
#die
20000	148	320	193	360	10

#=====HUMAN=====
#idle right
10100	141	3	151	20	60
#walk right
10101	154	4	164	20	60
10102	180	3	190	20	60
10103	167	4	177	20	60
#idle left
10104	121	3	131	20	60
#walk left
10105	108	4	114	20	60
10106	82	3	92	20	60
10107	95	4	105	20	60
#jump right
#10101	154	4	164	20	60
#jump left
#10105	108	4	114	20	60	

#BRICK
40001	300	117	316	133	20
40002	318	117	334	133	20
40003	336	117	352	133	20
40004	355	117	370	133	20
40005	408	225	424	241	20

#=====BUG=====
#Walk left
114	64	412	82	422	50
115	46	412	62	422	50
#Walk right
116	172	412	190	422	50
117	191	412	208	422	50

#=====ROBOT=====
#walk left
101	108	1	122	27	50
102	91	2	104	27	50
#walk right
103	132	1	146	27	50
104	150	2	163	27	50


#=====BEE=====
#Fly left
105	104	530	122	548	50
106	84	533	102	548	50
#Fly right
107	132	530	150	548	50
108	152	533	170	548	50

#=====MAYBUG=====
#FLy left
109	98	387	116	405	50
#Fly right
110	138	387	156	405	50
#Roll
111	78	387	96	405	50
112	118	387	136	405	50
113	158	387	176	405	50
#=====DOOM=====
#walk down
118	67	424	85	441	50
119	87	425	105	441	50
#walk left
120	105	441	122	459	50
121	105	461	121	479	50
#walk right
122	51	441	67	459	50
123	50	461	67	479	50
#walk top
124	67	479	85	495	50
125	87	479	105	496	50
#=====SPIDER=====
#Walk left
126	104	406	122	422	50		
127	84	407	102	422	50
#Walk right
128	132	406	150	422	50
129	152	407	170	422	50		


#=====ITEM=====
#P
200	87	237	103	253	20
#H
201	66	237	82	253	20
#LIGHTNING 
202	45	237	61	253	20
#ROCKET
203	24	237	40	253	20
#HROCKET
204	3	237	19	253	20
#CLEAR
220	0	0	0	0	20

##==============BULLET===================
#car bullet right, left, top
2000	73	200	95	206	20
2001	32	200	54	206	20
2002	172	267	178	289	20
#big bullet jason right, top
2003	73	200	95	206	20
2004	218	48	224	62	20
#bang
2005	176	94	183	102	20
2006	192	91	208	104	20
2007	213	90	229	106	20
#electric bullet jason 
2008	3	111	18	127	20
2009	3	132	18	148	20
2010	7	153	14	168	20
2011	6	174	17	190	20
#human bullet
2020	135	180	139	184	20

#=====HEALTH - POWER=====
#health bar
2030	238	125	251	178	20
#health unit
2031	239	117	250	123	20
#power bar
2032	133	218	141	250	20

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

# ==== CAR =====
#idle right 
400	10001	100
#idle left 
404	10009	100
#walk right 
500	10001	100	10002	100	10003	100	10004	100
#walk left 
501	10009	100	10010	100	10011	100	10012	100

#idle up right 1
510	10036	100	10037	100	10038	100	10039	100
#idle up right 2
511	10040	100	10041	100	10042	100	10043	100
#idle up right 3
512	10044	100	10045	100	10046	100	10047	100
#idle up right 4
513	10048	100	10049	100	10050	100	10051	100
#idle up left 1
520	10020	100	10021	100	10022	100	10023	100
#idle up left 2
521	10024	100	10025	100	10026	100	10027	100
#idle up left 3
522	10028	100	10029	100	10030	100	10031	100
#idle up left 4
523	10032	100	10033	100	10034	100	10035	100
#walk up left
530	10060	30	10061	30	10062	30	10063	30
#walk up right
540	10065	30	10066	30	10067	30	10068	30

#jump-up-right
560	10070	100	10072	100	10073	100
#jump-up-left
570	10080	100	10082	100	10083	100
#die
599	20000	100

#=====HUMAN=====
#idle right
580	10100	100
#walk right
581	10101	30	10102	30	10103	30
#idle left
582	10104	100
#walk left
583	10105	30	10106	30	10107	30
#jump right
584	10101	100
#jump left
585	10105	100

# ====BRICK ======
602	40001	1000	40001	100	40002	100	40003	100	40004	100

603	40005	100

# ==== BUG =====
#walk left
813	114	100	115	100
#walk right
814	116	100	117	100

# ==== ROBOT =========
#walk left
800	101	600	102	600
#walk right
801	103	600	104	600
#jump left
802	102	100
#jump right
803	104	100

# ==== BEE =========
#fly left
804	105	100	106	100
#fly right
805	107	100	108	100

# ==== MAYBUG =======
#fly left
806	109	100
#fly right
807	110	100
#roll
808	111	50	112	50	113	50

# ==== DOOM =====
#walk down
809	118	100	119	100
#walk left
810	120	100	121	100
#walk right
811	122	100	123	100
#walk top
812	124	100	125	100

# ==== SPIDER =====
#Walk left
813	126	100	127	100
#Walk right
814	128	100	129	100


# ===== ITEM =====
#P
900	200	100
901	200	100	220	100
#H
902	201	100
903	201	100	220	100
#LIGHTNING
904	202	100
905	202	100	220	100
#ROCKET
906	203	100
907	203	100	220	100
#HROCKET
908	204	100
909	204	100	220	100

# =====BULLET=====
#car bullet right
1000	2000	100
#car bullet left
1001	2001	100
# car bullet top
1002	2002	100
#car bullet right
1003	2003	100
#human bullet top
1004	2004	100
#bang
1005	2005	100	2006	100	2007	100
#electric bullet jason
1006	2008	100	2009	100	2010	100	2011	100
#human bullet
1007	2020	100

#=====HEALTH BAR=====
#health bar
1020	2030	100
#health/power unit
1021	2031	100
#power bar
1022	2032	100

#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
#=====CAR=====
5	400	404	500	501	510	511	512	513	520	521	522	523	530	540	560	570	599

#=====HUMAN=====
0	580	581	582	583	584	585

#=====QUESTION BRICK=====
22	603

#=====BUG=====
7	813	814

#=====ROBOT=====
8	800	801	802	803

#=====BEE=====
9	804	805

#=====MAYBUG=====
10	806	807	808

#=====DOOM=====
11	809	810	811	812

#=====SPIDER=====
12	813	814

#=====ITEM=====
100	900	901	902	903	904	905	906	907	908	909

#=====BULLETS=====
#car bullets
20	1000	1001	1002	1005
#human bullets
21	1007	1005

#=====HEAH-POWER=====
#health bar
30	1020	1021
[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 1 = Brick, 5 = car
# CAR
5	50	100	5

#HUMAN
0	55	100	0

# BRICK
1	0	161	22	318	16
1	385	161	22	125	16
1	578	161	22	125	16
1	771	161	22	300	16

##Brick tuong cho Domes
#part1
1	16	18	22	16	144
1	16	16	22	1200	16

1	51	32	22	30	32
1	115	32	22	30	48
1	178	32	22	30	30
1	243	32	22	30	80
1	306	32	22	30	48
1	370	32	22	30	32
1	435	32	22	30	32
1	499	32	22	30	48
1	563	32	22	30	32
1	627	32	22	30	80
1	691	32	22	30	32
1	755	32	22	30	32
1	819	32	22	30	48
1	883	32	22	30	80
1	947	32	22	30	90

1	260	170	22	28	80
1	400	170	22	15	80
1	467	170	22	15	80
1	593	170	22	15	80
1	659	170	22	15	80
1	785	170	22	15	80
1	0	224	22	1000	15


#BUG
#7	180	150	7
#7	90	20	7

#ROBOT
8	130	70	8

#BEE
#9	130	70	9

#MAYBUG
#10	140	70	10

#DOOM
#11	100	120	11	100	1
#11	140	40	11	400	0

#SPIDER
#12	100	80	12
#12	20	80	12

#ITEM
100	100	100	100

# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
#50	832	98	1	848	150	2
