# id	file_path	transparent_color_r	g	b
[TEXTURES]
10	textures\cars.png	255	0	255
20	textures\item.png	255	0	255
30	textures\map.png	255	0	0
40	textures\area7.png	255	0	255
50	textures\Enemies.png	255	0	255
100	textures\enemies(1).png	255	0	255
60	textures\sophia.png	255	0	255
70	textures\bricks.png	255	255	255
81	textures\intro1.png	255	255	255
82	textures\intro2.png	255	0	255
83	textures\intro3.png	255	0	255
84	textures\intro4.png	255	0	255
85	textures\outtro.png	255	0	255
86	textures\outtro1.png	255	0	255
87	textures\outtro2.png	255	0	255

# id	left	top	right	bottom	texture_id
[SPRITES]
123456	0	0	512	543	40
#=====INTRO=====
#intro 1
300	0	0	256	240	81
#intro 2
301	0	0	256	240	82
#intro 3
302	0	0	228	200	83
303	230	0	458	200	83
304	460	0	688	200	83
305	690	0	918	200	83
306	0	201	228	401	83
307	230	201	458	401	83
308	460	201	688	401	83
309	690	201	918	401	83
310	0	403	228	603	83
311	230	403	458	603	83
312	460	403	688	603	83
313	690	403	918	603	83
314	0	604	228	804	83
315	230	604	458	804	83
316	460	604	688	804	83
317	690	604	918	804	83
318	0	807	228	1007	83
319	230	807	458	1007	83
320	460	807	688	1007	83
321	690	807	918	1007	83
322	0	1008	228	1208	83
323	230	1008	458	1208	83
324	460	1008	688	1208	83
325	690	1008	918	1208	83
326	0	1211	228	1411	83
327	230	1211	458	1411	83
328	460	1211	688	1411	83
329	690	1211	918	1411	83
330	0	1412	228	1612	83
331	230	1412	458	1612	83
332	460	1412	688	1612	83
333	690	1412	918	1612	83
334	0	1615	228	1815	83
335	230	1615	458	1815	83
336	460	1615	688	1815	83
337	690	1615	918	1815	83
338	690	1816	918	2016	83
#intro 4
340	0	40	256	200	84
341	259	40	515	200	84
342	518	40	774	200	84
343	0	267	256	427	84
344	259	267	515	427	84
345	518	267	774	427	84
346	0	494	256	654	84
347	259	494	515	654	84
348	518	494	774	654	84
349	0	721	256	881	84

#=====ENDGAME=====
350	0	0	300	92	86
351	0	0	300	143	87
#tower
352	36	248	62	273	85

#=====CAR=====
#walk-right
10001	146	30	172	48	10
10002	178	5	204	23	10
10003	210	30	237	48	10
10004	242	5	268	23	10
#walk-left
10009	109	30	135	48	10
10010	77	5	103	23	10
10011	45	30	71	48	10
10012	13	5	39	23	10
#idle-up-left-1
10020	109	179	135	213	10
10021	109	213	135	246	10
10022	109	246	135	280	10
10023	105	283	135	317	10
#idle-up-left-2
10024	79	179	105	213	10
10025	79	213	105	246	10
10026	79	246	105	280	10
10027	75	283	105	317	10
#idle-up-left-3
10028	46	179	73	213	10
10029	46	213	73	246	10
10030	46	246	73	280	10
10031	42	283	73	317	10
#idle-up-left-4
10032	12	179	39	213	10
10033	12	213	39	246	10
10034	12	246	39	280	10
10035	8	283	39	317	10
#idle-up-right-1
10036	146	179	171	213	10
10037	146	213	171	246	10
10038	146	246	171	280	10
10039	146	283	173	317	10
#idle-up-right-2
10040	176	179	201	213	10
10041	176	213	201	246	10
10042	176	246	201	280	10
10043	176	283	202	317	10
#idle-up-right-3
10044	209	179	234	213	10
10045	209	213	234	246	10
10046	209	246	234	280	10
10047	209	283	235	317	10
#idle-up-right-4
10048	243	179	268	213	10
10049	243	213	268	246	10
10050	243	246	268	280	10
10051	243	283	269	317	10
#walk-up-left
10060	146	283	172	317	10
10061	176	283	203	317	10
10062	207	283	233	317	10
10063	242	283	268	317	10
#walk-up-right
10065	109	283	135	317	10
10066	79	283	105	317	10
10067	48	283	74	317	10
10068	13	283	39	317	10
#Jump-up-right
10070	146	51	172	72	10
10071	146	27	172	48	10
10072	146	2	172	23	10
10073	146	130	172	151	10
#Jump-up-left
10080	109	51	135	72	10
10081	109	27	135	48	10
10082	109	2	135	23	10
10083	109	130	135	151	10
#die
20000	148	320	193	360	10

#=====HUMAN=====
#idle right
10100	141	3	151	20	60
#walk right
10101	154	4	164	20	60
10102	180	3	190	20	60
10103	167	4	177	20	60
#idle left
10104	121	3	131	20	60
#walk left
10105	108	4	118	20	60
10106	82	3	92	20	60
10107	95	4	105	20	60
#jump right
#10101	154	4	164	20	60
#jump left
#10105	108	4	114	20	60
#lie-right
10108	207	10	223	20	60
#lie-move-right
10109	223	10	239	20	60
#lie-left
10110	49	10	65	20	60
#lie-move-left
10111	33	10	49	20	60
#move on ladder
10112	67	4	79	20	60
10113	193	4	205	20	60

#=====BIG HUMAN=====
#idle look up
10120	88	42	108	74	60
#move up
10121	114	43	134	74	60
10122	62	43	82	74	60
#idle look down
10123	164	42	184	74	60
#move down
10124	139	43	159	74	60
10125	188	43	208	74	60
#idle look right
10126	141	77	165	109	60
#move right
10127	171	78	195	109	60
10128	199	78	223	109	60
#idle look left
10129	107	77	131	109	60
#move left
10130	77	78	103	109	60
10131	49	78	73	109	60

#====BRICK=====
#Ladder
40000	143	1	155	17	70

#Lava
40001	141	181	157	197	70

#Arrows turn down
40002	81	221	97	237	70

#Arrows turn up
40003	61	222	77	238	70

#Brick
40005	121	221	137	237	70

#=====BUG=====
#Walk left
114	64	412	82	422	50
115	46	412	62	422	50
#Walk right
116	172	412	190	422	50
117	191	412	208	422	50

#=====ROBOT=====
#walk left
101	108	1	122	27	50
102	91	2	104	27	50
#walk right
103	132	1	146	27	50
104	150	2	163	27	50


#=====BEE=====
#Fly left
105	104	530	122	548	50
106	84	533	102	548	50
#Fly right
107	132	530	150	548	50
108	152	533	170	548	50

#=====MAYBUG=====
#FLy left
109	98	387	116	405	50
#Fly right
110	138	387	156	405	50
#Roll
111	78	387	96	405	50
112	118	387	136	405	50
113	158	387	176	405	50
#=====DOOM=====
#walk down
118	67	424	85	441	50
119	87	425	105	441	50
#walk left
120	105	441	122	459	50
121	105	461	121	479	50
#walk right
122	51	441	67	459	50
123	50	461	67	479	50
#walk top
124	67	479	85	495	50
125	87	479	105	496	50
#=====SPIDER=====
#Walk left
126	104	406	122	422	50		
127	84	407	102	422	50
#Walk right
128	132	406	150	422	50
129	152	407	170	422	50		
#SPIDER BULLET
130	135	180	139	184	20

#SKELETON
#Walk left
131	42	530	60	548	50
#Walk right
132	194	530	212	548	50
#Attack left
133	62	527	80	548	50
#Attack right
134	174	527	192	548	50

#SKELETON BULLET
135	193	515	293	525	50

#GUNNER
#Nolmal
136	96	603	122	629	50
#Attack top down
137	68	603	94	629	50
